economy,A1_internet_use_pct,A2_mobile_subs_p100,A3_fixed_bbnd_p100,A6_secure_servers_p1m,B7_bank_branches_p100k,B8_atm_p100k,D1_gni_pc_atlas,D2_urban_pct,D3_labor_participation_pct,D4_domestic_credit_priv_gdp,D5_adult_literacy_pct
"Korea, Rep.",97.57132698,140.516382791931,44.2526082339633,7334.11978035964,13.5740244244837,256.855232744804,37450.0,81.1616526507785,62.55,159.926120236306,
Indonesia,62.10447842,132.199444256099,4.4874632789818,2189.14677796205,15.7653714240527,47.9923093456682,4130.0,56.8761702464027,65.868,36.9908270556254,
Thailand,85.26956666,168.485285358167,17.3168855632327,2134.31889534104,9.35415100467224,104.824437320499,7100.0,58.5087776184082,66.952,164.142023585507,
Viet Nam,74.20999985,136.806313165021,19.5362327330994,3846.57222455068,2.92952332268588,27.2070978043162,3540.0,36.6540656426603,73.738,124.282898747665,
Philippines,66.90779877,144.424289981649,8.50897715713263,133.650513103559,8.89138951674097,29.0404050612851,3570.0,54.4504102510776,56.471,49.9413249106511,
Bangladesh,38.91744466,110.012054001037,6.64246518111116,228.70847011754,9.24962880387725,11.7993946492591,2600.0,31.3992156886061,61.085,39.0820163295701,76.3600006103516
Cambodia,60.76269913,117.234785164989,1.98089406311481,166.36910907398,12.3751042181232,31.5931133821687,2120.0,40.1091858128847,79.51,121.842231182128,71.9300003051758
Nepal,40.98910141,129.645418271275,4.30873475530627,269.787864363744,22.8280500782003,20.7724209106283,1250.0,66.144235274522,39.513,103.651351375401,
Pakistan,,78.8012296805749,1.23144065449307,65.7388698838102,10.2208873108403,11.1789491442581,1420.0,37.9333395514173,52.73,15.3401397751102,58.8600006103516
Lao PDR,62.0,64.7101497693472,2.0226898696049,82.246618027117,3.06488159113035,27.6424989365641,2500.0,37.338778268357,64.618,,
